,station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
7,KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170207,-0.76,22.1,13.64,3.802798,360.0,14.092722,0.1181103,22.047256,0.0
8,KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170330,37.04,53.96,44.24,4.026492,360.0,19.908766,0.0,0.0,0.07086618
9,KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170622,35.96,73.04,59.72,3.579104,360.0,19.01399,0.0,0.0,0.0
10,KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170725,53.06,87.08,71.6,6.039738,360.0,21.922012,0.0,0.0,0.0
2668,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170102,-5.8,7.16,6.08,6.71082,360.0,19.908766,1.6929143,9.842525,0.0787402
2669,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170327,42.08,60.08,50.72,7.381902,360.0,21.922012,0.0,0.0,0.11023628
2670,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170502,41.0,57.02,48.02,11.855782000000001,360.0,36.014734000000004,0.0,0.0,0.01181103
2671,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170623,46.04,71.96,58.1,6.263432,360.0,23.040482,0.0,0.0,0.0
2672,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170625,51.08,80.96,65.48,6.487126,360.0,21.922012,0.0,0.0,0.0
2673,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170702,62.06,91.94,78.44,8.052984,360.0,25.948504,0.0,0.0,0.0
2674,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170724,64.94,93.02,82.04,9.395147999999999,360.0,21.922012,0.0,0.0,0.0
2675,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170802,55.94,69.98,68.36,8.500372,360.0,34.001488,0.0,0.0,0.0
2676,BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,20170825,64.04,87.08,73.58,7.605596,360.0,31.988242,0.0,0.0,0.0
2677,LEWISTOWN MUNI AP,MT,47.0492,-109.4578,1263.4,20170102,-9.76,3.2,,3.131716,360.0,12.079476,,3.149608,0.01181103
2678,LEWISTOWN MUNI AP,MT,47.0492,-109.4578,1263.4,20170522,39.92,66.92,,10.737312,360.0,29.974996,,0.0,0.0
2679,LEWISTOWN MUNI AP,MT,47.0492,-109.4578,1263.4,20170630,41.0,78.98,,5.59235,360.0,19.01399,,0.0,0.0
2680,LEWISTOWN MUNI AP,MT,47.0492,-109.4578,1263.4,20170911,46.94,87.98,,4.921268,360.0,12.974252,,0.0,0.0
2681,MILES CITY F WILEY FLD,MT,46.4267,-105.8825,799.8,20170110,1.22,9.14,,9.618841999999999,360.0,18.119214000000003,,,0.03149608
2682,MILES CITY F WILEY FLD,MT,46.4267,-105.8825,799.8,20170222,29.12,37.94,,8.500372,360.0,17.000744,,,0.11023628
2683,MILES CITY F WILEY FLD,MT,46.4267,-105.8825,799.8,20170609,55.94,91.04,,,360.0,44.067718,,,0.31102379
2793,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170416,26.24,55.04,,4.47388,360.0,16.105968,0.0,0.0,0.0
2794,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170421,33.08,44.06,,5.368656,360.0,21.922012,0.0,0.0,0.05905515
2795,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170425,37.04,51.98,,5.816044000000001,360.0,23.040482,0.0,0.0,0.11023628
2796,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170501,33.98,55.94,,6.487126,360.0,23.040482,0.0,0.0,0.0
2797,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170525,37.04,55.94,,4.921268,360.0,23.935257999999997,0.0,0.0,0.05118113
2798,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170620,48.92,89.06,,5.59235,360.0,25.053728,0.0,0.0,0.01968505
2799,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170624,39.02,77.0,,4.47388,360.0,17.000744,0.0,0.0,0.0
2800,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170718,48.92,89.96,,4.921268,360.0,17.000744,0.0,0.0,0.0
2801,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170731,51.98,93.02,,4.250186,360.0,14.092722,0.0,0.0,0.0
2802,BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,20170801,51.08,91.04,,6.039738,360.0,23.040482,0.0,0.0,0.0
2803,CUT BANK MUNI AP,MT,48.6033,-112.3753,1169.8,20170307,6.26,22.1,16.52,9.171453999999999,360.0,23.935257999999997,,1.181103,0.03149608
2804,CUT BANK MUNI AP,MT,48.6033,-112.3753,1169.8,20170331,33.98,51.98,42.26,10.513618,360.0,29.08022,,0.0,0.0
2805,CUT BANK MUNI AP,MT,48.6033,-112.3753,1169.8,20170519,33.98,64.94,49.64,5.59235,360.0,31.988242,,0.0,0.0
